団体コード,都道府県名,市区町村名,開設局数
210005,岐阜県,,564
212016,岐阜県,岐阜市,75
212024,岐阜県,大垣市,42
212032,岐阜県,高山市,26
212041,岐阜県,多治見市,38
212059,岐阜県,関市,35
212067,岐阜県,中津川市,24
212075,岐阜県,美濃市,7
212083,岐阜県,瑞浪市,15
212091,岐阜県,羽島市,20
212105,岐阜県,恵那市,21
212113,岐阜県,美濃加茂市,16
212121,岐阜県,土岐市,17
212130,岐阜県,各務原市,36
212148,岐阜県,可児市,22
212156,岐阜県,山県市,13
212164,岐阜県,瑞穂市,5
212172,岐阜県,飛騨市,6
212181,岐阜県,本巣市,10
212199,岐阜県,郡上市,23
212202,岐阜県,下呂市,20
212211,岐阜県,海津市,5
213021,岐阜県,羽島郡岐南町,6
213039,岐阜県,羽島郡笠松町,7
213411,岐阜県,養老郡養老町,5
213616,岐阜県,不破郡垂井町,7
213624,岐阜県,不破郡関ケ原町,6
213811,岐阜県,安八郡神戸町,9
213829,岐阜県,安八郡輪之内町,2
213837,岐阜県,安八郡安八町,8
215015,岐阜県,加茂郡坂祝町,4
215031,岐阜県,加茂郡川辺町,5
215040,岐阜県,加茂郡七宗町,2
215058,岐阜県,加茂郡八百津町,7
215066,岐阜県,加茂郡白川町,6
215074,岐阜県,加茂郡東白川村,3
215210,岐阜県,可児郡御嵩町,10
216046,岐阜県,大野郡白川村,1
220001,静岡県,,976
221015,静岡県,静岡市葵区,74
221023,静岡県,静岡市駿河区,45
221031,静岡県,静岡市清水区,71
221317,静岡県,浜松市中区,34
221325,静岡県,浜松市東区,30
221333,静岡県,浜松市西区,29
221341,静岡県,浜松市南区,21
221350,静岡県,浜松市北区,33
221368,静岡県,浜松市浜北区,9
221376,静岡県,浜松市天竜区,6
222038,静岡県,沼津市,49
222054,静岡県,熱海市,9
222062,静岡県,三島市,24
222071,静岡県,富士宮市,23
222089,静岡県,伊東市,9
222097,静岡県,島田市,19
222101,静岡県,富士市,53
222119,静岡県,磐田市,34
222127,静岡県,焼津市,40
222135,静岡県,掛川市,47
222143,静岡県,藤枝市,36
222151,静岡県,御殿場市,27
222160,静岡県,袋井市,30
222194,静岡県,下田市,7
222208,静岡県,裾野市,14
222216,静岡県,湖西市,22
222224,静岡県,伊豆市,22
222232,静岡県,御前崎市,18
222241,静岡県,菊川市,19
222259,静岡県,伊豆の国市,9
222267,静岡県,牧之原市,29
223018,静岡県,賀茂郡東伊豆町,6
223026,静岡県,賀茂郡河津町,7
223042,静岡県,賀茂郡南伊豆町,4
223051,静岡県,賀茂郡松崎町,2
223069,静岡県,賀茂郡西伊豆町,7
223255,静岡県,田方郡函南町,13
223417,静岡県,駿東郡清水町,6
223425,静岡県,駿東郡長泉町,8
223441,静岡県,駿東郡小山町,8
224243,静岡県,榛原郡吉田町,9
224294,静岡県,榛原郡川根本町,5
224618,静岡県,周智郡森町,9
230006,愛知県,,1736
231011,愛知県,名古屋市千種区,37
231029,愛知県,名古屋市東区,30
231037,愛知県,名古屋市北区,26
231045,愛知県,名古屋市西区,40
231053,愛知県,名古屋市中村区,57
231061,愛知県,名古屋市中区,86
231070,愛知県,名古屋市昭和区,24
231088,愛知県,名古屋市瑞穂区,22
231096,愛知県,名古屋市熱田区,19
231100,愛知県,名古屋市中川区,48
231118,愛知県,名古屋市港区,41
231126,愛知県,名古屋市南区,30
231134,愛知県,名古屋市守山区,34
231142,愛知県,名古屋市緑区,65
231151,愛知県,名古屋市名東区,33
231169,愛知県,名古屋市天白区,29
232017,愛知県,豊橋市,68
232025,愛知県,岡崎市,51
232033,愛知県,一宮市,74
232041,愛知県,瀬戸市,39
232050,愛知県,半田市,22
232068,愛知県,春日井市,42
232076,愛知県,豊川市,43
232084,愛知県,津島市,18
232092,愛知県,碧南市,22
232106,愛知県,刈谷市,22
232114,愛知県,豊田市,88
232122,愛知県,安城市,33
232131,愛知県,西尾市,57
232149,愛知県,蒲郡市,21
232157,愛知県,犬山市,17
232165,愛知県,常滑市,25
232173,愛知県,江南市,18
232190,愛知県,小牧市,25
232203,愛知県,稲沢市,27
232211,愛知県,新城市,27
232220,愛知県,東海市,19
232238,愛知県,大府市,26
232246,愛知県,知多市,15
232254,愛知県,知立市,12
232262,愛知県,尾張旭市,13
232271,愛知県,高浜市,8
232289,愛知県,岩倉市,9
232297,愛知県,豊明市,20
232301,愛知県,日進市,24
232319,愛知県,田原市,38
232327,愛知県,愛西市,16
232335,愛知県,清須市,9
232343,愛知県,北名古屋市,15
232351,愛知県,弥富市,11
232360,愛知県,みよし市,16
232378,愛知県,あま市,12
232386,愛知県,長久手市,19
233021,愛知県,愛知郡東郷町,10
233421,愛知県,西春日井郡豊山町,4
233617,愛知県,丹羽郡大口町,6
233625,愛知県,丹羽郡扶桑町,7
234249,愛知県,海部郡大治町,3
234257,愛知県,海部郡蟹江町,4
234273,愛知県,海部郡飛島村,2
234419,愛知県,知多郡阿久比町,9
234427,愛知県,知多郡東浦町,13
234460,愛知県,知多郡美浜町,2
234478,愛知県,知多郡武豊町,1
235016,愛知県,額田郡幸田町,20
235610,愛知県,北設楽郡設楽町,11
235628,愛知県,北設楽郡東栄町,1
235636,愛知県,北設楽郡豊根村,1
