団体コード,都道府県名,市区町村名,開設局数_前回,開設局数_今回,開設局数_差分
130001,東京都,,3,3,0
131032,東京都,港区,3,3,0
140007,神奈川県,,3,3,0
141101,神奈川県,横浜市戸塚区,3,3,0
160008,富山県,,139,139,0
162019,富山県,富山市,90,90,0
162027,富山県,高岡市,9,9,0
162043,富山県,魚津市,1,1,0
162051,富山県,氷見市,3,3,0
162060,富山県,滑川市,2,2,0
162078,富山県,黒部市,2,2,0
162086,富山県,砺波市,11,11,0
162108,富山県,南砺市,6,6,0
162116,富山県,射水市,8,8,0
163228,富山県,中新川郡上市町,3,3,0
163236,富山県,中新川郡立山町,4,4,0
170003,石川県,,177,177,0
172014,石川県,金沢市,89,89,0
172022,石川県,七尾市,3,3,0
172031,石川県,小松市,30,30,0
172049,石川県,輪島市,1,1,0
172065,石川県,加賀市,4,4,0
172073,石川県,羽咋市,3,3,0
172090,石川県,かほく市,4,4,0
172103,石川県,白山市,18,18,0
172111,石川県,能美市,11,11,0
172120,石川県,野々市市,7,7,0
173614,石川県,河北郡津幡町,3,3,0
173657,石川県,河北郡内灘町,3,3,0
173843,石川県,羽咋郡志賀町,1,1,0
180009,福井県,,108,108,0
182010,福井県,福井市,68,68,0
182079,福井県,鯖江市,17,17,0
182095,福井県,越前市,9,9,0
182109,福井県,坂井市,13,13,0
184047,福井県,南条郡南越前町,1,1,0
